Latitude,Longitude
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253355267,854234222
253354978,854233867
253354978,854233867
253354978,854233867
253353511,854235556
253353511,854235556
253353378,854235467
253353378,854235467
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253352844,854235733
253353244,854233956
253353244,854233956
253353244,854233956
253353244,854233956
253353244,854233956
253353244,854233956
253353244,854233956
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253353867,854236178
253354444,854235111
253353333,854235556
253353356,854235467
253353600,854235644
253353578,854236000
253353578,854236178
253353511,854236444
253353511,854236444
253353511,854236622
253352956,854236444
253352956,854236356
